20	48.7	m
299	52.5	x
713	65.6	M
233	21.2	L
801	72.2	d
282	13.1	Y
451	31.1	j
285	21.5	c
237	40.6	G
279	62.1	C
253	52.6	W
355	24.1	H
890	27.7	X
908	14.4	N
31	40.5	t
570	38	P
597	22.3	o
596	21.6	M
359	30.7	g
369	58.2	D
996	83.5	K
618	79.9	B
926	28.2	e
514	48.9	s
141	20.3	i
880	12.5	t
284	5.6	A
164	73.9	I
521	33.1	q
77	25.2	U
540	88.3	l
393	77.2	f
979	74.2	v
262	56.7	E
997	20.3	N
617	31.3	n
172	15.6	K
642	46.9	B
372	47.8	p
977	43.8	j
12	53.8	f
256	88.9	l
106	57.6	H
85	82.1	P
202	80.8	b
15	79.7	z
474	44.6	A
932	78.2	Z
921	9.9	u
502	7.2	F
776	39.3	Z
753	28.2	k
935	83.6	X
367	73.2	v
870	73	y
310	83.3	i
810	81.8	b
945	17.6	y
855	68.8	d
572	72.8	b
150	11.9	i
144	55.5	U
593	86.9	g
515	82.8	q
260	31.3	f
319	58.5	j
500	15.9	h
75	48.4	k
815	15.6	f
460	2.6	T
546	60.1	r
639	66.3	O
586	50.6	m
910	16	q
816	10.3	Z
139	61.8	Q
620	68.5	B
34	22.1	k
101	61.9	G
781	43.3	s
594	83	C
577	13.9	a
234	45.8	L
833	67.4	m
506	64	x
429	5.9	V
986	1.1	X
629	77.8	I
35	45	M
227	5.6	a
46	76.7	X
912	42.7	Y
147	55.1	R
25	52.7	u
36	27.6	F
373	9.8	X
802	31	K
934	15.7	X
267	86.9	C
362	56.9	V
497	0.3	Y
168	81.9	R
822	87.3	k
533	29.9	Q
587	21.9	S
357	35.6	b
49	39.7	a
615	63.1	X
407	1.7	L
946	47.6	k
55	65.9	G
43	29.7	u
835	28	U
511	26.7	H
522	0.1	L
311	87.5	e
626	25.7	d
255	35.4	G
773	65.5	p
217	32.2	a
335	5.2	P
261	64.2	V
365	54.7	F
66	30.4	F
692	15.4	O
527	28.3	g
718	0.5	b
140	8.1	t
5	37.2	J
58	55.4	x
423	8.9	H
583	37.8	b
91	55.4	d
928	42.9	e
95	18.7	r
604	36.3	D
758	31.8	O
994	45.8	o
185	80.8	L
656	83	i
208	59.9	w
702	65.3	M
817	80.1	o
709	45.9	K
19	86.1	j
126	29.7	a
292	85.3	U
54	31	s
64	63.2	B
155	87.3	O
113	85.7	z
79	63.2	N
750	47.4	Q
826	8.6	g
102	59.8	i
82	47.2	p
992	65.6	z
326	51.7	G
544	70.5	O
920	55.4	x
321	8.7	B
510	45.2	g
879	72.4	I
689	63.6	I
560	26.2	k
193	6.8	i
482	24.7	x
679	72.3	L
836	58.5	W
953	25.8	l
298	9.5	U
601	3.6	h
377	36.1	L
360	63.5	V
808	5.3	P
339	40.7	c
504	78.5	b
293	10.4	T
318	61	b
905	19.4	R
763	51.4	U
767	70.8	d
190	58.8	W
710	79.1	M
845	49.4	P
184	39.7	j
915	76	D
765	69.3	v
811	10.7	s
110	52.4	I
534	78.4	o
868	42.3	n
479	23.2	d
203	65.8	G
665	53.9	D
170	3.2	c
271	79.2	y
516	46.3	d
334	76.5	K
394	2.6	W
174	84.7	e
408	46.1	J
165	86.2	G
219	33.7	K
65	18.2	T
720	61.8	p
606	33.6	P
839	43.2	N
231	42.5	l
481	60.7	i
898	64.8	p
387	56.5	g
383	65.6	i
358	59.8	C
347	37.7	y
121	72.4	l
658	19.2	X
595	34.9	L
909	25.9	W
89	2.2	c
644	43.4	G
760	65.1	q
26	79.8	P
210	47.1	P
662	71.5	r
120	62	G
93	24.8	X
496	86.4	T
707	33.2	v
971	71.7	z
2	26.1	f
978	77.8	k
840	80.2	Y
988	28.7	p
97	10.3	M
939	45.1	w
739	85.7	Y
364	38.4	p
329	21.5	I
415	19.8	i
73	78.3	q
584	9.6	G
337	10.3	g
312	35.6	S
378	28.6	q
389	9.2	W
468	87.9	P
473	32.4	Y
51	9.3	y
998	60.3	T
87	36.1	k
872	26.5	o
56	60.6	A
381	2.7	G
432	76.2	Y
142	36.5	Z
827	76.8	C
414	33.2	G
955	27.1	I
555	82.1	B
993	8.7	b
484	46.7	l
28	49.1	a
198	3.5	M
541	33.5	d
81	33.2	M
